
  input,output
  "input: Can you tell me my IP address","output: func [\"get_ip_address\"]",
  "input: Is there a way to check my IP","output: func [\"get_ip_address\"]",
  "input: Can you help me find my IP?","output: func [\"get_ip_address\"]",
  "input: I need to know my IP address for [reason].","output: func [\"get_ip_address\"]",
  "input: Could you please provide my IP address","output: func [\"get_ip_address\"]",
  "input: I need to know my IP address","output: func [\"get_ip_address\"]",
  "input: What's my IP","output: func [\"get_ip_address\"]",
  "input: Can you tell me my IP address","output: func [\"get_ip_address\"]",
  "input: Hey, what's my IP","output: func [\"get_ip_address\"]",
  "input: Can you give me a heads up on my IP","output: func [\"get_ip_address\"]",
  "input: What is my public IP address","output: func [\"get_ip_address\"]",
  "input: Can you tell me my internal IP address","output: func [\"get_ip_address\"]",
  "input: give me ip address","output: func [\"get_ip_address\"]",
  "input: What time is it","output: func [\"get_time\"]",
  "input: Could you please give me the time","output: func [\"get_time\"]",
  "input: Can you tell me the time","output: func [\"get_time\"]",
  "input: I need to know the time for [reason]","output: func [\"get_time\"]",
  "input: I need to know the time","output: func [\"get_time\"]",
  "input: Is there a way to find out the time","output: func [\"get_time\"]",
  "input: Can you help me check the time","output: func [\"get_time\"]",
  "input: Can you give me a heads up on the time","output: func [\"get_time\"]",
  "input: Hey, what's the time","output: func [\"get_time\"]",
  "input: What is the current time","output: func [\"get_time\"]",
  "input: What date is it","output: func [\"get_date\"]",
  "input: Could you please give me the date","output: func [\"get_date\"]",
  "input: Can you tell me the date","output: func [\"get_date\"]",
  "input: What is the date today","output: func [\"get_date\"]",
  "input: I need to know the date","output: func [\"get_date\"]",
  "input: I need to know the date for [reason].","output: func [\"get_date\"]",
  "input: Can you help me check the date","output: func [\"get_date\"]",
  "input: Is there a way to find out the date","output: func [\"get_date\"]",
  "input: Hey, what's the date","output: func [\"get_date\"]",
  "input: Can you give me a heads up on the date","output: func [\"get_date\"]",
  "input: What is the current date","output: func [\"get_date\"]",
  "input: What is the date","output: func [\"get_date\"]",
  "input: What is the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: Can you tell me the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: Could you please give me the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: I need to know the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: I need to know the date and time for [reason].","output: func [\"get_date\",\"get_time\"]",
  "input: Can you help me check the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: Is there a way to find out the date and time","output: func [\"get_date\",\"get_time\"]",
